codebase_size_kloc,function_count,cyclomatic_complexity,is_legacy,coverage_pct
711.7,46,31.9,0,41.71
477.7,204,20.4,0,40.94
316.7,524,13.1,0,42.88
896.1,646,16.6,0,40.07
516.3,752,25.4,0,77.65
900.3,428,39.7,0,58.9
445.2,418,12.9,0,39.65
714.8,155,11.2,0,7.5
624.3,818,29.4,0,69.13
631.8,786,20.1,1,87.19
600.0,419,34.7,0,59.95
932.8,557,25.8,0,60.77
466.4,474,39.7,1,124.92
447.0,871,37.7,0,98.6
658.2,413,28.5,1,64.87
391.7,596,39.7,1,110.84
937.9,596,13.8,0,25.48
780.7,150,35.5,0,58.5
373.9,875,39.6,1,135.5
856.1,640,13.9,0,25.39
