codebase_size_kloc,function_count,cyclomatic_complexity,is_legacy,coverage_pct
416.5,949,11.7,0,44.56
317.6,42,7.6,1,45.63
403.3,759,15.6,1,77.23
279.2,718,3.9,1,69.62
220.8,545,13.3,0,59.68
124.5,253,6.3,0,26.21
290.2,820,14.7,0,69.77
333.1,281,1.6,1,34.25
239.0,899,5.5,0,38.39
39.8,967,9.9,0,55.3
117.1,677,19.5,0,76.13
227.2,715,14.7,0,61.55
288.5,188,4.1,1,47.11
332.8,568,15.4,1,79.69
458.8,374,15.4,1,77.06
85.5,636,19.2,0,69.98
97.2,785,5.7,1,72.12
365.0,64,14.0,1,56.86
365.5,343,15.5,1,70.67
342.6,349,11.8,0,46.0
471.5,158,16.2,0,37.07
340.9,729,3.5,1,55.51
153.9,266,4.8,0,36.24
234.1,709,14.1,1,74.55
261.8,502,2.1,0,36.6
